muni_id,community_subtype_id
1,7
2,6
3,7
4,7
5,7
6,9
7,4
8,4
9,7
10,2
11,8
12,9
13,9
14,6
15,7
16,4
17,7
18,5
19,7
20,6
21,8
22,9
23,6
24,8
25,7
26,2
27,8
28,8
29,9
30,4
31,6
32,7
33,9
34,8
35,1
36,6
37,8
38,8
39,8
40,5
41,6
42,7
43,9
44,3
45,7
46,2
47,9
48,5
49,1
50,6
51,8
52,7
53,9
54,8
55,6
56,6
57,1
58,7
59,9
60,9
61,4
62,9
63,9
64,4
65,8
66,9
67,6
68,9
69,9
70,7
71,5
72,7
73,5
74,7
75,6
76,8
77,8
78,8
79,7
80,7
81,8
82,6
83,7
84,7
85,7
86,6
87,4
88,7
89,7
90,9
91,9
92,7
93,1
94,7
95,3
96,6
97,4
98,9
99,7
100,4
101,7
102,8
103,4
104,9
105,8
106,9
107,4
108,9
109,9
110,7
111,8
112,9
113,7
114,7
115,8
116,6
117,7
118,7
119,7
120,8
121,9
122,7
123,7
124,9
125,8
126,7
127,8
128,4
129,9
130,9
131,6
132,9
133,5
134,7
135,7
136,7
137,4
138,7
139,8
140,9
141,7
142,5
143,9
144,7
145,7
146,7
147,7
148,9
149,3
150,7
151,7
152,7
153,4
154,9
155,6
156,9
157,6
158,7
159,5
160,3
161,7
162,8
163,4
164,6
165,1
166,7
167,6
168,5
169,7
170,4
171,6
172,6
173,7
174,5
175,6
176,2
177,7
178,2
179,8
180,7
181,4
182,8
183,9
184,7
185,4
186,7
187,7
188,8
189,6
190,9
191,8
192,7
193,9
194,9
195,9
196,5
197,7
198,5
199,5
200,9
201,3
202,9
203,9
204,9
205,8
206,4
207,2
208,7
209,4
210,7
211,7
212,7
213,6
214,4
215,7
216,7
217,9
218,7
219,8
220,4
221,7
222,9
223,7
224,6
225,9
226,7
227,7
228,8
229,4
230,9
231,6
232,8
233,9
234,9
235,9
236,4
237,9
238,7
239,7
240,8
241,9
242,4
243,4
244,5
245,7
246,5
247,8
248,1
249,9
250,8
251,7
252,7
253,9
254,8
255,9
256,9
257,7
258,4
259,7
260,9
261,6
262,5
263,9
264,6
265,7
266,6
267,9
268,9
269,8
270,7
271,7
272,9
273,4
274,1
275,7
276,8
277,6
278,4
279,8
280,7
281,3
282,8
283,9
284,5
285,5
286,8
287,7
288,6
289,7
290,8
291,5
292,7
293,4
294,8
295,6
296,7
297,9
298,8
299,7
300,9
301,8
302,9
303,8
304,8
305,5
306,9
307,7
308,2
309,7
310,7
311,8
312,9
313,9
314,2
315,6
316,4
317,6
318,6
319,9
320,7
321,7
322,7
323,8
324,8
325,4
326,9
327,9
328,7
329,4
330,8
331,9
332,8
333,6
334,7
335,6
336,5
337,9
338,7
339,7
340,9
341,7
342,6
343,8
344,5
345,9
346,2
347,4
348,3
349,9
350,8
351,6
